"","creative_properties","n"
"114","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-ProvedToThem.34s&utm_campaign=Debate1",15
"115","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-SignIntoLaw.30s&utm_campaign=August",1
"116","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-StandsBeforeAmerica.49s&utm_campaign=Debate1",15
"117","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-TheSeal.15s&utm_campaign=August",14
"118","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-TheSeal.30s&utm_campaign=August",14
"119","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-TrumpsNotFightingForYou.15s&utm_campaign=September",15
"120","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-UnlikeDonaldTrump.10s&utm_campaign=September",14
"121","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-UnlikeDonaldTrumpAlt.9s&utm_campaign=September",15
"122","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=Feed-WalkTheWalk.20s&utm_campaign=September",15
"123","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=Foundation.30s&utm_campaign=September",10
"124","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=Foundation.60s&utm_campaign=September",10
"125","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=HousingCostsA.28s&utm_campaign=September",14
"126","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=HousingCostsB.29s&utm_campaign=September",15
"127","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=IApprove.6s&utm_campaign=September",14
"128","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=Libertad.32s&utm_campaign=September",11
"129","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=MadeTheFriesA.17s&utm_campaign=September",11
"130","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=MadeTheFriesB.18s&utm_campaign=September",11
"131","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=Maintain.52s&utm_campaign=September",11
"132","web_view_url:https://kamalaharris.com/meet-kamala-harris/?utm_medium=ads&utm_source=Snapchat&utm_content=ManyOfUs.59s&utm_campaign=September",10
